"Name","Year","Wins","Losses","Win_Percent","Arena","Location","Capacity"
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",1990,34,38,0.472222222222222,NA,NA,NA
"Detroit Red Wings",2012,24,16,0.6,NA,NA,NA
"Detroit Red Wings",2013,39,28,0.582089552238806,NA,NA,NA
"Detroit Red Wings",2014,43,25,0.63235294117647,NA,NA,NA
"Detroit Red Wings",2015,41,30,0.577464788732394,NA,NA,NA
"Detroit Red Wings",2016,33,36,0.478260869565217,NA,NA,NA
"Detroit Red Wings",2017,30,39,0.434782608695652,NA,NA,NA
"Detroit Red Wings",2018,32,40,0.444444444444444,NA,NA,NA
"Detroit Red Wings",2019,17,49,0.257575757575758,NA,NA,NA
"Detroit Red Wings",2020,19,27,0.41304347826087,NA,NA,NA
"Detroit Red Wings",2021,26,32,0.448275862068966,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",1990,37,37,0.5,NA,NA,NA
"Edmonton Oilers",2012,19,22,0.463414634146341,NA,NA,NA
"Edmonton Oilers",2013,29,44,0.397260273972603,NA,NA,NA
"Edmonton Oilers",2014,24,44,0.352941176470588,NA,NA,NA
"Edmonton Oilers",2015,31,43,0.418918918918919,NA,NA,NA
"Edmonton Oilers",2016,47,26,0.643835616438356,NA,NA,NA
"Edmonton Oilers",2017,36,40,0.473684210526316,NA,NA,NA
"Edmonton Oilers",2018,35,38,0.47945205479452,NA,NA,NA
"Edmonton Oilers",2019,37,25,0.596774193548387,NA,NA,NA
"Edmonton Oilers",2020,35,19,0.648148148148148,NA,NA,NA
"Edmonton Oilers",2021,36,25,0.59016393442623,NA,NA,NA
"Florida Panthers",2012,15,27,0.357142857142857,NA,NA,NA
"Florida Panthers",2013,29,45,0.391891891891892,NA,NA,NA
"Florida Panthers",2014,38,29,0.567164179104478,NA,NA,NA
"Florida Panthers",2015,47,26,0.643835616438356,NA,NA,NA
"Florida Panthers",2016,35,36,0.492957746478873,NA,NA,NA
"Florida Panthers",2017,44,30,0.594594594594595,NA,NA,NA
"Florida Panthers",2018,36,32,0.529411764705882,NA,NA,NA
"Florida Panthers",2019,35,26,0.573770491803279,NA,NA,NA
"Florida Panthers",2020,37,14,0.725490196078431,NA,NA,NA
"Florida Panthers",2021,44,15,0.745762711864407,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Hartford Whalers",1990,31,38,0.449275362318841,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
"Los Angeles Kings",1990,46,24,0.657142857142857,NA,NA,NA
